New Moon,First Quarter,Full Moon,Third Quarter
1806-05-18T00:00:00,1806-05-24T00:00:00,1806-06-01T00:00:00,1806-06-09T00:00:00
1806-06-16T00:00:00,1806-06-23T00:00:00,1806-06-30T00:00:00,1806-07-08T00:00:00
1806-07-15T00:00:00,1806-07-22T00:00:00,1806-07-30T00:00:00,1806-08-07T00:00:00
1806-08-14T00:00:00,1806-08-20T00:00:00,1806-08-29T00:00:00,1806-09-05T00:00:00
1806-09-12T00:00:00,1806-09-19T00:00:00,1806-09-27T00:00:00,1806-10-05T00:00:00
1806-10-11T00:00:00,1806-10-19T00:00:00,1806-10-27T00:00:00,1806-11-03T00:00:00
1806-11-10T00:00:00,1806-11-18T00:00:00,1806-11-25T00:00:00,1806-12-02T00:00:00
1806-12-09T00:00:00,1806-12-18T00:00:00,1806-12-25T00:00:00,None
None,None,None,1807-01-01T00:00:00
1807-01-08T00:00:00,1807-01-16T00:00:00,1807-01-23T00:00:00,1807-01-30T00:00:00
1807-02-07T00:00:00,1807-02-15T00:00:00,1807-02-22T00:00:00,1807-03-01T00:00:00
1807-03-09T00:00:00,1807-03-17T00:00:00,1807-03-23T00:00:00,1807-03-30T00:00:00
1807-04-07T00:00:00,1807-04-15T00:00:00,1807-04-22T00:00:00,1807-04-29T00:00:00
1807-05-07T00:00:00,1807-05-14T00:00:00,1807-05-21T00:00:00,1807-05-29T00:00:00
1807-06-06T00:00:00,1807-06-13T00:00:00,1807-06-20T00:00:00,1807-06-27T00:00:00
1807-07-05T00:00:00,1807-07-12T00:00:00,1807-07-19T00:00:00,1807-07-27T00:00:00
1807-08-03T00:00:00,1807-08-10T00:00:00,1807-08-18T00:00:00,1807-08-26T00:00:00
1807-09-02T00:00:00,1807-09-08T00:00:00,1807-09-16T00:00:00,1807-09-24T00:00:00
1807-10-01T00:00:00,1807-10-08T00:00:00,1807-10-16T00:00:00,1807-10-24T00:00:00
1807-10-30T00:00:00,1807-11-07T00:00:00,1807-11-15T00:00:00,1807-11-22T00:00:00
1807-11-29T00:00:00,1807-12-06T00:00:00,1807-12-14T00:00:00,1807-12-22T00:00:00
1807-12-28T00:00:00,None,None,None
None,1808-01-05T00:00:00,1808-01-13T00:00:00,1808-01-20T00:00:00
1808-01-27T00:00:00,1808-02-04T00:00:00,1808-02-12T00:00:00,1808-02-18T00:00:00
1808-02-26T00:00:00,1808-03-05T00:00:00,1808-03-12T00:00:00,1808-03-19T00:00:00
1808-03-26T00:00:00,1808-04-04T00:00:00,1808-04-10T00:00:00,1808-04-17T00:00:00
1808-04-25T00:00:00,1808-05-03T00:00:00,1808-05-10T00:00:00,1808-05-17T00:00:00
1808-05-25T00:00:00,1808-06-01T00:00:00,1808-06-08T00:00:00,1808-06-15T00:00:00
1808-06-23T00:00:00,1808-07-01T00:00:00,1808-07-07T00:00:00,1808-07-15T00:00:00
1808-07-23T00:00:00,1808-07-30T00:00:00,1808-08-06T00:00:00,1808-08-14T00:00:00
1808-08-21T00:00:00,1808-08-28T00:00:00,1808-09-04T00:00:00,1808-09-12T00:00:00
1808-09-20T00:00:00,1808-09-26T00:00:00,1808-10-04T00:00:00,1808-10-12T00:00:00
1808-10-19T00:00:00,1808-10-26T00:00:00,1808-11-03T00:00:00,1808-11-11T00:00:00
1808-11-17T00:00:00,1808-11-24T00:00:00,1808-12-03T00:00:00,1808-12-10T00:00:00
1808-12-17T00:00:00,1808-12-24T00:00:00,None,None
None,None,1809-01-01T00:00:00,1809-01-09T00:00:00
1809-01-15T00:00:00,1809-01-23T00:00:00,1809-01-31T00:00:00,1809-02-07T00:00:00
1809-02-14T00:00:00,1809-02-22T00:00:00,1809-03-02T00:00:00,1809-03-08T00:00:00
1809-03-16T00:00:00,1809-03-24T00:00:00,1809-03-31T00:00:00,1809-04-07T00:00:00
1809-04-14T00:00:00,1809-04-22T00:00:00,1809-04-29T00:00:00,1809-05-06T00:00:00
1809-05-14T00:00:00,1809-05-22T00:00:00,1809-05-29T00:00:00,1809-06-04T00:00:00
1809-06-13T00:00:00,1809-06-20T00:00:00,1809-06-27T00:00:00,1809-07-04T00:00:00
1809-07-12T00:00:00,1809-07-20T00:00:00,1809-07-26T00:00:00,1809-08-03T00:00:00
1809-08-11T00:00:00,1809-08-18T00:00:00,1809-08-25T00:00:00,1809-09-01T00:00:00
1809-09-09T00:00:00,1809-09-16T00:00:00,1809-09-23T00:00:00,1809-10-01T00:00:00
1809-10-09T00:00:00,1809-10-15T00:00:00,1809-10-23T00:00:00,1809-10-31T00:00:00
1809-11-07T00:00:00,1809-11-14T00:00:00,1809-11-21T00:00:00,1809-11-30T00:00:00
1809-12-07T00:00:00,1809-12-13T00:00:00,1809-12-21T00:00:00,1809-12-29T00:00:00
1810-01-05T00:00:00,1810-01-12T00:00:00,1810-01-20T00:00:00,1810-01-28T00:00:00
1810-02-03T00:00:00,1810-02-11T00:00:00,1810-02-19T00:00:00,1810-02-26T00:00:00
1810-03-05T00:00:00,1810-03-12T00:00:00,1810-03-20T00:00:00,1810-03-28T00:00:00
1810-04-03T00:00:00,1810-04-11T00:00:00,1810-04-19T00:00:00,1810-04-26T00:00:00
1810-05-03T00:00:00,1810-05-11T00:00:00,1810-05-18T00:00:00,1810-05-25T00:00:00
1810-06-02T00:00:00,1810-06-10T00:00:00,1810-06-17T00:00:00,1810-06-23T00:00:00
1810-07-01T00:00:00,1810-07-09T00:00:00,1810-07-16T00:00:00,1810-07-23T00:00:00
1810-07-31T00:00:00,1810-08-08T00:00:00,1810-08-14T00:00:00,1810-08-21T00:00:00
1810-08-29T00:00:00,1810-09-06T00:00:00,1810-09-13T00:00:00,1810-09-20T00:00:00
1810-09-28T00:00:00,1810-10-05T00:00:00,1810-10-12T00:00:00,1810-10-20T00:00:00
